0,1,2,3
Arsenal,68.92857142857143,0.6383763837638377,0.36900369003690037
Bournemouth,68.75,0.3333333333333333,0.21568627450980393
Brighton,0.0,0.3684210526315789,0.10526315789473684
Burnley,64.38888888888889,0.3559322033898305,0.15254237288135594
Chelsea,101.9,0.6051660516605166,0.42435424354243545
Crystal Palace,63.61904761904762,0.2818181818181818,0.22727272727272727
Everton,62.32142857142857,0.42435424354243545,0.21033210332103322
Huddersfield,0.0,0.3157894736842105,0.15789473684210525
Leicester,59.875,0.34965034965034963,0.23776223776223776
Liverpool,70.07407407407408,0.5793357933579336,0.35424354243542433
Man City,81.95,0.5401785714285714,0.33482142857142855
Man United,70.6,0.6678966789667896,0.47601476014760147
Newcastle,0.0,0.44715447154471544,0.1910569105691057
Southampton,60.0,0.41262135922330095,0.17475728155339806
Stoke,59.40909090909091,0.34615384615384615,0.17692307692307693
Swansea,50.16,0.3465346534653465,0.18811881188118812
Tottenham,95.5,0.4944649446494465,0.28044280442804426
Watford,47.041666666666664,0.2714285714285714,0.17142857142857143
West Brom,71.26315789473684,0.28,0.15333333333333332
West Ham,68.04545454545455,0.371900826446281,0.19421487603305784
